title,brand,price,review
Base Líquida Matte FPS25 - Cor 070 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Batom Líquido Matte - Cor 010 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Batom Líquido Matte - Cor 020 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Batom Líquido Matte - Cor 040 - Bauny Cosméticos,bauny_cosmeticos,,0/5
"Batom Líquido Matte - Cor 050 - Bauny Cosméticos,bauny_cosmeticos,""R$ 49,90"",0/5"
Batom Líquido Matte - Cor 060 - Bauny Cosméticos,bauny_cosmeticos,,0/5
"Blush Compacto Cor 040 - Bauny Cosméticos,bauny_cosmeticos,""R$ 42,90"",0/5"
"Blush Compacto Cor 060 - Bauny Cosméticos,bauny_cosmeticos,""R$ 42,90"",0/5"
Lápis Delineador - Preto - Bauny Cosméticos,bauny_cosmeticos,,0/5
Lápis de Sobrancelha - Universal - Bauny Cosméticos,bauny_cosmeticos,,0/5
Lapiseira Retrátil - Preta - Bauny Cosméticos,bauny_cosmeticos,,0/5
Máscara de Cílios - Super Size - Bauny Cosméticos,bauny_cosmeticos,,0/5
Máscara de Cílios - Great Volume - Bauny Cosméticos,bauny_cosmeticos,,0/5
Paleta de Sombras - Essentials - Bauny Cosméticos,bauny_cosmeticos,,0/5
Corretivo Líquido - 70-80 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Corretivo Líquido - 90-100 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Pó Compacto FPS25 - Cor 100 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Pó Solto Facial - Cor 020 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Gloss Hidra Luminous 3D - Light Glow - Bauny Cosméticos,bauny_cosmeticos,,0/5
Gloss Vinil - Malva Frio Be Brave - Bauny Cosméticos,bauny_cosmeticos,,0/5
Lápis Delineador de Lábios Nude - Bauny Cosméticos,bauny_cosmeticos,,0/5
Lapiseira Retrátil para Olhos Marrom - Bauny Cosméticos,bauny_cosmeticos,,0/5
Base Líquida Matte FPS25 - Cor 010 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Base Líquida Matte FPS25 - Cor 050 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Blush Compacto Cor 020 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Corretivo Líquido - 30-40 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Corretivo Líquido - 50-60 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Iluminador Compacto - Cor 010 - Bauny Cosméticos,bauny_cosmeticos,,0/5
",bauny_cosmeticos,""R$ 22,90"","
",bauny_cosmeticos,""R$ 22,90"","
",bauny_cosmeticos,""R$ 22,90"","
"Escova de Cabelo Belliz Black & Gold Racket Média - Belliz,belliz,""R$ 69,90"",0/5"
"Escova de Cabelo de Madeira Point 25 - Linha Metal - Belliz,belliz,""R$ 49,90"",0/5"
"Escova de Cabelo de Madeira Point 36 - Linha Metal - Belliz,belliz,""R$ 63,90"",0/5"
"Escova para Cabelo Black & Gold Ventilada - Belliz,belliz,""R$ 56,90"",0/5"
Escova de Cabelo Black e Gold Racket - Belliz,belliz,,0/5
",belliz,""R$ 22,90"","
",belliz,""R$ 22,90"","
",belliz,""R$ 22,90"","
Blush Líquido Tint Cream - Live - Boca Rosa Beauty,boca_rosa,,0/5
Paleta de Sombras Metaverse - Boca Rosa Beauty,boca_rosa,,0/5
Paleta De Blush #CarinhaDeMetida - Boca Rosa,boca_rosa,,5-May
Lapiseira Kajal Carbon Black #Blackout - Boca Rosa,boca_rosa,,0/5
Batom Líquido Mate #BocaRosaQueimado - Boca Rosa,boca_rosa,,5-May
Batom Líquido Mate #BocaRosaNude - Boca Rosa,boca_rosa,,5-May
Pó Solto Iluminador Flash - Boca Rosa Beauty,boca_rosa,,5-May
Pó Solto Iluminador Oops - Boca Rosa Beauty,boca_rosa,,0/5
Corretivo Líquido - Cor 1.5 Petúnia - Boca Rosa,boca_rosa,,0/5
",boca_rosa,""R$ 22,90"","
",boca_rosa,""R$ 22,90"","
",boca_rosa,""R$ 22,90"","
"Cílios Postiços Fios Naturais 20 - Broadway,broadway,""R$ 17,90"",0/5"
"Cílios Postiços Fios Naturais K36 - Broadway,broadway,""R$ 17,90"",0/5"
"Cílios Postiços Fios Naturais 523 - Broadway,broadway,""R$ 17,90"",0/5"
"Cílios Postiços Fios Naturais 46 - Broadway,broadway,""R$ 17,90"",0/5"
"Cílios Postiços Fios Naturais 99 - Broadway,broadway,""R$ 17,90"",0/5"
"Cílios Postiços Fios Naturais 12 - Broadway,broadway,""R$ 17,90"",0/5"
"Cílios Postiços Fios Naturais 213 - Broadway,broadway,""R$ 17,90"",0/5"
"Cílios Postiços Fios Naturais -Nº 79 - Broadway,broadway,""R$ 17,90"",0/5"
"Cilios Postiços 5D 02 - Broadway,broadway,""R$ 14,90"",0/5"
"Cilios Postiços 5D 03 - Broadway,broadway,""R$ 14,90"",0/5"
"Cilios Postiços 5D 04 - Broadway,broadway,""R$ 14,90"",0/5"
"Cilios Postiços 5D 05 - Broadway,broadway,""R$ 14,90"",0/5"
"Cilios Postiços 5D 06 - Broadway,broadway,""R$ 14,90"",0/5"
"Cílios Postiços 5D Pacote Econômico 5un - Broadway,broadway,""R$ 49,90"",0/5"
Cílios Postiços Fios Naturais 747M - Broadway,broadway,,0/5
",broadway,""R$ 22,90"","
",broadway,""R$ 22,90"","
",broadway,""R$ 22,90"","
"All Grape Solução Antioxidante Tônico - BM Skin,bruna_malheiros,""R$ 109,90"",0/5"
"Cleasing Oil Melt Grape - BM Skin,bruna_malheiros,""R$ 169,00"",5-May"
"Gel de Limpeza Facial Clean Grape - BM Skin,bruna_malheiros,""R$ 84,90"",5-May"
"Iluminador em Gel Marmalade - Chantilly - BM Beauty,bruna_malheiros,""R$ 99,90"",5-May"
"Iluminador em Gel Marmalade - Caramel - BM Beauty,bruna_malheiros,""R$ 99,90"",0/5"
"Iluminador em Gel Marmalade - Candy Rose - BM Beauty,bruna_malheiros,""R$ 99,90"",0/5"
"Pó Solto Seal Up - Translucent Medium - BM Beauty,bruna_malheiros,""R$ 99,90"",5-May"
"Pó Solto Seal Up - Translucent Bright - BM Beauty,bruna_malheiros,""R$ 99,90"",5-Apr"
"Pó Solto Seal Up - Translucent Banana - BM Beauty,bruna_malheiros,""R$ 99,90"",5-May"
"Light Up - Pó Para Área Dos Olhos - Light Diamond - BM Beauty,bruna_malheiros,""R$ 89,90"",5-Apr"
"Light Up - Pó Para Área Dos Olhos - Light - BM Beauty,bruna_malheiros,""R$ 89,90"",5-Apr"
"Find Glow Bruma Fixante - BM Beauty,bruna_malheiros,""R$ 89,90"",5-May"
